EKG,T,,,,,
333,4912,,,,,
341,4922,,,,,
346,4932,,,,,
355,4942,,,,,
362,4953,,,,,
371,4963,,,,,
375,4974,,,,,
376,4984,,,,,
375,4995,,,,,
372,5005,,,,,
369,5015,,,,,
360,5025,,,,,
345,5037,,,,,
326,5047,,,,,
317,5057,,,,,
312,5067,,,,,
314,5078,,,,,
314,5088,,,,,
318,5098,,,,,
316,5109,,,,,
319,5120,,,,,
318,5130,,,,,
317,5140,,,,,
316,5150,,,,,
317,5160,,,,,
316,5172,,,,,
315,5182,,,,,
324,5192,,,,,
331,5202,,,,,
330,5213,,,,,
326,5223,,,,,
317,5233,,,,,
313,5244,,,,,
310,5255,,,,,
312,5265,,,,,
311,5275,,,,,
310,5285,,,,,
290,5296,,,,,
316,5307,,,,,
538,5317,,,,,
606,5327,,,,,
303,5338,,,,,
225,5348,,,,,
279,5358,,,,,
298,5369,,,,,
304,5380,,,,,
308,5390,,,,,
314,5400,,,,,
317,5410,,,,,
323,5421,,,,,
326,5431,,,,,
334,5442,,,,,
338,5452,,,,,
344,5463,,,,,
351,5473,,,,,
361,5483,,,,,
365,5493,,,,,
366,5505,,,,,
365,5515,,,,,
363,5525,,,,,
363,5535,,,,,
358,5545,,,,,
351,5556,,,,,
339,5566,,,,,
327,5577,,,,,
318,5587,,,,,
319,5598,,,,,
320,5608,,,,,
323,5618,,,,,
323,5628,,,,,
325,5640,,,,,
323,5650,,,,,
323,5660,,,,,
321,5670,,,,,
326,5681,,,,,
323,5691,,,,,
321,5702,,,,,
327,5712,,,,,
339,5723,,,,,
338,5733,,,,,
337,5743,,,,,
327,5753,,,,,
319,5764,,,,,
319,5775,,,,,
320,5785,,,,,
321,5795,,,,,
323,5806,,,,,
312,5816,,,,,
295,5826,,,,,
452,5837,,,,,
656,5848,,,,,
439,5858,,,,,
221,5868,,,,,
267,5878,,,,,
306,5889,,,,,
316,5899,,,,,
318,5910,,,,,
323,5920,,,,,
326,5931,,,,,
334,5941,,,,,
337,5951,,,,,
343,5961,,,,,
348,5972,,,,,
355,5983,,,,,
362,5993,,,,,
370,6003,,,,,
373,6013,,,,,
377,6024,,,,,
375,6035,,,,,
375,6045,,,,,
374,6055,,,,,
372,6066,,,,,
366,6076,,,,,
355,6086,,,,,
340,6096,,,,,
327,6108,,,,,
325,6118,,,,,
321,6128,,,,,
323,6138,,,,,
323,6149,,,,,
325,6159,,,,,
324,6170,,,,,
325,6180,,,,,
322,6191,,,,,
323,6201,,,,,
322,6211,,,,,
320,6221,,,,,
325,6232,,,,,
335,6243,,,,,
336,6253,,,,,
332,6263,,,,,
320,6274,,,,,
313,6284,,,,,
312,6294,,,,,
312,6305,,,,,
313,6316,,,,,
312,6326,,,,,
305,6336,,,,,
280,6346,,,,,
418,6356,,,,,
624,6368,,,,,
444,6378,,,,,
216,6388,,,,,
256,6398,,,,,
295,6409,,,,,
305,6419,,,,,
307,6429,,,,,
313,6440,,,,,
316,6451,,,,,
324,6461,,,,,
326,6471,,,,,
333,6481,,,,,
336,6492,,,,,
343,6503,,,,,
349,6513,,,,,
359,6523,,,,,
363,6534,,,,,
364,6544,,,,,
365,6554,,,,,
361,6564,,,,,
360,6576,,,,,
359,6586,,,,,
355,6596,,,,,
343,6606,,,,,
332,6617,,,,,
321,6627,,,,,
320,6638,,,,,
317,6648,,,,,
318,6659,,,,,
317,6669,,,,,
321,6679,,,,,
318,6689,,,,,
320,6701,,,,,
317,6711,,,,,
318,6721,,,,,
314,6731,,,,,
311,6742,,,,,
317,6752,,,,,
329,6762,,,,,
331,6773,,,,,
327,6784,,,,,
319,6794,,,,,
315,6804,,,,,
311,6814,,,,,
309,6824,,,,,
311,6836,,,,,
313,6846,,,,,
310,6856,,,,,
279,6866,,,,,
386,6877,,,,,
618,6887,,,,,
507,6897,,,,,
236,6908,,,,,
252,6919,,,,,
295,6929,,,,,
309,6939,,,,,
313,6949,,,,,
322,6960,,,,,
323,6971,,,,,
331,6981,,,,,
334,6991,,,,,
341,7002,,,,,
343,7012,,,,,
349,7022,,,,,
358,7033,,,,,
366,7044,,,,,
369,7054,,,,,
375,7064,,,,,
376,7074,,,,,
369,7085,,,,,
371,7095,,,,,
371,7106,,,,,
368,7116,,,,,
357,7127,,,,,
345,7137,,,,,
333,7147,,,,,
332,7157,,,,,
330,7169,,,,,
335,7179,,,,,
335,7189,,,,,
336,7199,,,,,
335,7209,,,,,
335,7220,,,,,
333,7230,,,,,
335,7241,,,,,
335,7251,,,,,
333,7262,,,,,
331,7272,,,,,
342,7282,,,,,
348,7292,,,,,
348,7304,,,,,
343,7314,,,,,
333,7324,,,,,
330,7334,,,,,
328,7345,,,,,
331,7355,,,,,
330,7366,,,,,
333,7376,,,,,
316,7387,,,,,
330,7397,,,,,
526,7407,,,,,
628,7417,,,,,
338,7428,,,,,
225,7439,,,,,
288,7449,,,,,
320,7459,,,,,
325,7470,,,,,
331,7480,,,,,
333,7490,,,,,
339,7501,,,,,
344,7512,,,,,
345,7522,,,,,
350,7532,,,,,
358,7542,,,,,
363,7553,,,,,
368,7563,,,,,
375,7574,,,,,
380,7584,,,,,
380,7595,,,,,
378,7605,,,,,
376,7615,,,,,
379,7625,,,,,
381,7636,,,,,
373,7647,,,,,
359,7657,,,,,
343,7667,,,,,
337,7677,,,,,
334,7688,,,,,
336,7699,,,,,
336,7709,,,,,
337,7719,,,,,
337,7730,,,,,
338,7740,,,,,
334,7750,,,,,
334,7760,,,,,
333,7772,,,,,
331,7782,,,,,
331,7792,,,,,
340,7802,,,,,
344,7813,,,,,
341,7823,,,,,
336,7834,,,,,
325,7844,,,,,
321,7855,,,,,
319,7865,,,,,
321,7875,,,,,
321,7885,,,,,
324,7896,,,,,
307,7907,,,,,
340,7917,,,,,
531,7927,,,,,
552,7938,,,,,
262,7948,,,,,
219,7958,,,,,
284,7969,,,,,
307,7980,,,,,
313,7990,,,,,
319,8000,,,,,
323,8010,,,,,
329,8020,,,,,
333,8032,,,,,
336,8042,,,,,
341,8052,,,,,
346,8062,,,,,
351,8073,,,,,
355,8083,,,,,
359,8093,,,,,
361,8104,,,,,
363,8115,,,,,
362,8125,,,,,
361,8135,,,,,
362,8145,,,,,
363,8156,,,,,
351,8167,,,,,
338,8177,,,,,
323,8187,,,,,
320,8198,,,,,
315,8208,,,,,
317,8218,,,,,
317,8228,,,,,
319,8240,,,,,
319,8250,,,,,
320,8260,,,,,
317,8270,,,,,
315,8281,,,,,
317,8291,,,,,
316,8302,,,,,
324,8312,,,,,
330,8323,,,,,
331,8333,,,,,
324,8343,,,,,
315,8353,,,,,
306,8365,,,,,
305,8375,,,,,
304,8385,,,,,
306,8395,,,,,
307,8406,,,,,
300,8416,,,,,
288,8426,,,,,
434,8437,,,,,
568,8448,,,,,
362,8458,,,,,
195,8468,,,,,
261,8478,,,,,
297,8488,,,,,
303,8500,,,,,
308,8510,,,,,
316,8520,,,,,
318,8530,,,,,
322,8541,,,,,
329,8551,,,,,
335,8561,,,,,
338,8572,,,,,
342,8583,,,,,
350,8593,,,,,
355,8603,,,,,
360,8613,,,,,
361,8624,,,,,
362,8635,,,,,
357,8645,,,,,
359,8655,,,,,
358,8666,,,,,
354,8676,,,,,
339,8686,,,,,
329,8697,,,,,
320,8708,,,,,
319,8718,,,,,
319,8728,,,,,
322,8738,,,,,
320,8749,,,,,
320,8759,,,,,
320,8770,,,,,
320,8780,,,,,
321,8791,,,,,
319,8801,,,,,
317,8811,,,,,
327,8821,,,,,
335,8833,,,,,
333,8843,,,,,
327,8853,,,,,
316,8863,,,,,
312,8873,,,,,
310,8884,,,,,
313,8894,,,,,
310,8905,,,,,
313,8915,,,,,
298,8926,,,,,
295,8936,,,,,
463,8946,,,,,
573,8956,,,,,
331,8968,,,,,
215,8978,,,,,
277,8988,,,,,
302,8998,,,,,
307,9009,,,,,
315,9019,,,,,
317,9030,,,,,
322,9040,,,,,
328,9051,,,,,
331,9061,,,,,
336,9071,,,,,
343,9081,,,,,
348,9092,,,,,
353,9103,,,,,
359,9113,,,,,
362,9123,,,,,
363,9134,,,,,
360,9144,,,,,
358,9154,,,,,
358,9165,,,,,
361,9176,,,,,
353,9186,,,,,
344,9196,,,,,
329,9206,,,,,
326,9217,,,,,
323,9227,,,,,
325,9238,,,,,
325,9248,,,,,
329,9259,,,,,
329,9269,,,,,
327,9279,,,,,
327,9289,,,,,
326,9300,,,,,
323,9311,,,,,
329,9321,,,,,
338,9331,,,,,
338,9341,,,,,
337,9352,,,,,
326,9363,,,,,
319,9373,,,,,
315,9383,,,,,
316,9394,,,,,
315,9404,,,,,
316,9414,,,,,
309,9424,,,,,
283,9436,,,,,
380,9446,,,,,
583,9456,,,,,
466,9466,,,,,
226,9477,,,,,
257,9487,,,,,
301,9498,,,,,
308,9508,,,,,
314,9519,,,,,
319,9529,,,,,
324,9539,,,,,
327,9549,,,,,
332,9560,,,,,
336,9571,,,,,
342,9581,,,,,
348,9591,,,,,
353,9602,,,,,
359,9612,,,,,
363,9622,,,,,
363,9633,,,,,
360,9644,,,,,
360,9654,,,,,
358,9664,,,,,
361,9674,,,,,
355,9684,,,,,
346,9696,,,,,
333,9706,,,,,
327,9716,,,,,
323,9726,,,,,
326,9737,,,,,
326,9747,,,,,
328,9757,,,,,
327,9768,,,,,
329,9779,,,,,
328,9789,,,,,
327,9799,,,,,
322,9809,,,,,
323,9820,,,,,
335,9831,,,,,
341,9841,,,,,
339,9851,,,,,
331,9862,,,,,
321,9872,,,,,
315,9882,,,,,
316,9892,,,,,
316,9904,,,,,
