EKG,T,,,,,0
293,4402,,,,,
314,4412,,,,,
315,4422,,,,,
320,4432,,,,,
324,4444,,,,,
331,4454,,,,,
335,4464,,,,,
342,4474,,,,,
346,4485,,,,,
354,4495,,,,,
359,4506,,,,,
366,4516,,,,,
373,4527,,,,,
380,4537,,,,,
381,4547,,,,,
381,4557,,,,,
378,4568,,,,,
370,4579,,,,,
359,4589,,,,,
342,4599,,,,,
330,4610,,,,,
318,4620,,,,,
311,4630,,,,,
308,4641,,,,,
308,4652,,,,,
308,4662,,,,,
313,4672,,,,,
312,4682,,,,,
316,4692,,,,,
316,4704,,,,,
319,4714,,,,,
321,4724,,,,,
325,4734,,,,,
323,4745,,,,,
331,4755,,,,,
336,4765,,,,,
337,4776,,,,,
332,4787,,,,,
323,4797,,,,,
316,4807,,,,,
316,4817,,,,,
315,4828,,,,,
315,4839,,,,,
317,4849,,,,,
314,4859,,,,,
278,4870,,,,,
332,4880,,,,,
597,4890,,,,,
636,4900,,,,,
311,4912,,,,,
244,4922,,,,,
289,4932,,,,,
309,4942,,,,,
311,4953,,,,,
313,4963,,,,,
320,4974,,,,,
323,4984,,,,,
330,4995,,,,,
334,5005,,,,,
341,5015,,,,,
344,5025,,,,,
354,5037,,,,,
361,5047,,,,,
369,5057,,,,,
376,5067,,,,,
377,5078,,,,,
379,5088,,,,,
376,5098,,,,,
370,5109,,,,,
358,5120,,,,,
344,5130,,,,,
327,5140,,,,,
315,5150,,,,,
309,5160,,,,,
308,5172,,,,,
306,5182,,,,,
307,5192,,,,,
307,5202,,,,,
312,5213,,,,,
311,5223,,,,,
315,5233,,,,,
315,5244,,,,,
319,5255,,,,,
321,5265,,,,,
321,5275,,,,,
329,5285,,,,,
336,5296,,,,,
335,5307,,,,,
330,5317,,,,,
322,5327,,,,,
316,5338,,,,,
313,5348,,,,,
313,5358,,,,,
314,5369,,,,,
314,5380,,,,,
313,5390,,,,,
273,5400,,,,,
337,5410,,,,,
611,5421,,,,,
629,5431,,,,,
304,5442,,,,,
254,5452,,,,,
292,5463,,,,,
311,5473,,,,,
312,5483,,,,,
317,5493,,,,,
320,5505,,,,,
326,5515,,,,,
331,5525,,,,,
338,5535,,,,,
342,5545,,,,,
350,5556,,,,,
355,5566,,,,,
363,5577,,,,,
369,5587,,,,,
378,5598,,,,,
381,5608,,,,,
379,5618,,,,,
377,5628,,,,,
369,5640,,,,,
359,5650,,,,,
340,5660,,,,,
327,5670,,,,,
314,5681,,,,,
308,5691,,,,,
305,5702,,,,,
307,5712,,,,,
305,5723,,,,,
309,5733,,,,,
310,5743,,,,,
313,5753,,,,,
313,5764,,,,,
317,5775,,,,,
320,5785,,,,,
323,5795,,,,,
321,5806,,,,,
330,5816,,,,,
335,5826,,,,,
334,5837,,,,,
330,5848,,,,,
321,5858,,,,,
315,5868,,,,,
314,5878,,,,,
314,5889,,,,,
313,5899,,,,,
316,5910,,,,,
311,5920,,,,,
271,5931,,,,,
345,5941,,,,,
625,5951,,,,,
619,5961,,,,,
296,5972,,,,,
250,5983,,,,,
293,5993,,,,,
310,6003,,,,,
313,6013,,,,,
317,6024,,,,,
323,6035,,,,,
327,6045,,,,,
332,6055,,,,,
337,6066,,,,,
344,6076,,,,,
347,6086,,,,,
359,6096,,,,,
369,6108,,,,,
379,6118,,,,,
386,6128,,,,,
391,6138,,,,,
392,6149,,,,,
387,6159,,,,,
378,6170,,,,,
365,6180,,,,,
347,6191,,,,,
331,6201,,,,,
321,6211,,,,,
314,6221,,,,,
314,6232,,,,,
309,6243,,,,,
312,6253,,,,,
311,6263,,,,,
311,6274,,,,,
313,6284,,,,,
319,6294,,,,,
317,6305,,,,,
322,6316,,,,,
324,6326,,,,,
325,6336,,,,,
323,6346,,,,,
337,6356,,,,,
340,6368,,,,,
333,6378,,,,,
329,6388,,,,,
321,6398,,,,,
316,6409,,,,,
315,6419,,,,,
318,6429,,,,,
317,6440,,,,,
319,6451,,,,,
306,6461,,,,,
276,6471,,,,,
423,6481,,,,,
662,6492,,,,,
530,6503,,,,,
241,6513,,,,,
252,6523,,,,,
301,6534,,,,,
312,6544,,,,,
315,6554,,,,,
320,6564,,,,,
327,6576,,,,,
330,6586,,,,,
337,6596,,,,,
340,6606,,,,,
350,6617,,,,,
355,6627,,,,,
362,6638,,,,,
370,6648,,,,,
379,6659,,,,,
385,6669,,,,,
385,6679,,,,,
388,6689,,,,,
383,6701,,,,,
374,6711,,,,,
359,6721,,,,,
340,6731,,,,,
324,6742,,,,,
316,6752,,,,,
307,6762,,,,,
305,6773,,,,,
302,6784,,,,,
304,6794,,,,,
307,6804,,,,,
309,6814,,,,,
311,6824,,,,,
316,6836,,,,,
318,6846,,,,,
321,6856,,,,,
323,6866,,,,,
325,6877,,,,,
335,6887,,,,,
337,6897,,,,,
335,6908,,,,,
330,6919,,,,,
318,6929,,,,,
314,6939,,,,,
314,6949,,,,,
314,6960,,,,,
316,6971,,,,,
315,6981,,,,,
309,6991,,,,,
274,7002,,,,,
398,7012,,,,,
660,7022,,,,,
563,7033,,,,,
241,7044,,,,,
247,7054,,,,,
291,7064,,,,,
310,7074,,,,,
312,7085,,,,,
321,7095,,,,,
322,7106,,,,,
328,7116,,,,,
334,7127,,,,,
339,7137,,,,,
344,7147,,,,,
352,7157,,,,,
359,7169,,,,,
367,7179,,,,,
379,7189,,,,,
386,7199,,,,,
390,7209,,,,,
389,7220,,,,,
384,7230,,,,,
372,7241,,,,,
358,7251,,,,,
338,7262,,,,,
323,7272,,,,,
312,7282,,,,,
310,7292,,,,,
305,7304,,,,,
305,7314,,,,,
302,7324,,,,,
304,7334,,,,,
305,7345,,,,,
311,7355,,,,,
313,7366,,,,,
316,7376,,,,,
320,7387,,,,,
324,7397,,,,,
324,7407,,,,,
325,7417,,,,,
333,7428,,,,,
336,7439,,,,,
335,7449,,,,,
328,7459,,,,,
319,7470,,,,,
314,7480,,,,,
315,7490,,,,,
312,7501,,,,,
313,7512,,,,,
314,7522,,,,,
307,7532,,,,,
272,7542,,,,,
404,7553,,,,,
660,7563,,,,,
557,7574,,,,,
245,7584,,,,,
250,7595,,,,,
295,7605,,,,,
312,7615,,,,,
315,7625,,,,,
321,7636,,,,,
324,7647,,,,,
333,7657,,,,,
335,7667,,,,,
340,7677,,,,,
343,7688,,,,,
351,7699,,,,,
361,7709,,,,,
369,7719,,,,,
379,7730,,,,,
386,7740,,,,,
392,7750,,,,,
391,7760,,,,,
388,7772,,,,,
376,7782,,,,,
360,7792,,,,,
339,7802,,,,,
324,7813,,,,,
311,7823,,,,,
307,7834,,,,,
305,7844,,,,,
305,7855,,,,,
303,7865,,,,,
307,7875,,,,,
308,7885,,,,,
312,7896,,,,,
313,7907,,,,,
316,7917,,,,,
318,7927,,,,,
318,7938,,,,,
320,7948,,,,,
322,7958,,,,,
324,7969,,,,,
319,7980,,,,,
327,7990,,,,,
337,8000,,,,,
335,8010,,,,,
331,8020,,,,,
325,8032,,,,,
317,8042,,,,,
316,8052,,,,,
313,8062,,,,,
317,8073,,,,,
316,8083,,,,,
318,8093,,,,,
289,8104,,,,,
325,8115,,,,,
575,8125,,,,,
659,8135,,,,,
361,8145,,,,,
245,8156,,,,,
282,8167,,,,,
311,8177,,,,,
314,8187,,,,,
318,8198,,,,,
323,8208,,,,,
329,8218,,,,,
334,8228,,,,,
338,8240,,,,,
343,8250,,,,,
349,8260,,,,,
357,8270,,,,,
363,8281,,,,,
375,8291,,,,,
381,8302,,,,,
391,8312,,,,,
393,8323,,,,,
393,8333,,,,,
385,8343,,,,,
370,8353,,,,,
350,8365,,,,,
331,8375,,,,,
316,8385,,,,,
309,8395,,,,,
305,8406,,,,,
307,8416,,,,,
305,8426,,,,,
306,8437,,,,,
308,8448,,,,,
309,8458,,,,,
311,8468,,,,,
314,8478,,,,,
316,8488,,,,,
317,8500,,,,,
316,8510,,,,,
317,8520,,,,,
319,8530,,,,,
317,8541,,,,,
320,8551,,,,,
319,8561,,,,,
323,8572,,,,,
320,8583,,,,,
334,8593,,,,,
338,8603,,,,,
334,8613,,,,,
328,8624,,,,,
320,8635,,,,,
316,8645,,,,,
317,8655,,,,,
315,8666,,,,,
316,8676,,,,,
317,8686,,,,,
309,8697,,,,,
289,8708,,,,,
444,8718,,,,,
661,8728,,,,,
534,8738,,,,,
257,8749,,,,,
262,8759,,,,,
303,8770,,,,,
311,8780,,,,,
314,8791,,,,,
319,8801,,,,,
326,8811,,,,,
327,8821,,,,,
335,8833,,,,,
339,8843,,,,,
343,8853,,,,,
349,8863,,,,,
360,8873,,,,,
367,8884,,,,,
378,8894,,,,,
384,8905,,,,,
393,8915,,,,,
393,8926,,,,,
391,8936,,,,,
380,8946,,,,,
363,8956,,,,,
343,8968,,,,,
325,8978,,,,,
313,8988,,,,,
307,8998,,,,,
304,9009,,,,,
304,9019,,,,,
305,9030,,,,,
306,9040,,,,,
308,9051,,,,,
308,9061,,,,,
311,9071,,,,,
312,9081,,,,,
315,9092,,,,,
315,9103,,,,,
319,9113,,,,,
318,9123,,,,,
318,9134,,,,,
317,9144,,,,,
319,9154,,,,,
318,9165,,,,,
319,9176,,,,,
320,9186,,,,,
323,9196,,,,,
320,9206,,,,,
327,9217,,,,,
338,9227,,,,,
339,9238,,,,,
335,9248,,,,,
328,9259,,,,,
322,9269,,,,,
320,9279,,,,,
322,9289,,,,,
320,9300,,,,,
320,9311,,,,,
320,9321,,,,,
296,9331,,,,,
331,9341,,,,,
578,9352,,,,,
658,9363,,,,,
365,9373,,,,,
251,9383,,,,,
288,9394,,,,,
311,9404,,,,,
317,9414,,,,,
319,9424,,,,,
324,9436,,,,,
328,9446,,,,,
335,9456,,,,,
339,9466,,,,,
345,9477,,,,,
349,9487,,,,,
358,9498,,,,,
366,9508,,,,,
376,9519,,,,,
385,9529,,,,,
393,9539,,,,,
398,9549,,,,,
396,9560,,,,,
391,9571,,,,,
378,9581,,,,,
362,9591,,,,,
339,9602,,,,,
324,9612,,,,,
313,9622,,,,,
310,9633,,,,,
307,9644,,,,,
308,9654,,,,,
307,9664,,,,,
308,9674,,,,,
307,9684,,,,,
312,9696,,,,,
313,9706,,,,,
314,9716,,,,,
314,9726,,,,,
318,9737,,,,,
316,9747,,,,,
317,9757,,,,,
318,9768,,,,,
320,9779,,,,,
319,9789,,,,,
317,9799,,,,,
318,9809,,,,,
318,9820,,,,,
